 0.00,  0.00,  0.00
 0.40,  0.25,  1.67
 0.80,  0.50,  3.33
 1.20,  0.75,  4.99
 1.60,  1.00,  6.65
 2.00,  1.25,  8.29
 2.39,  1.49,  9.93
 2.79,  1.74, 11.56
 3.19,  1.99, 13.18
 3.58,  2.23, 14.78
 3.97,  2.47, 16.36
 4.36,  2.72, 17.93
 4.75,  2.96, 19.47
 5.14,  3.19, 20.99
 5.53,  3.43, 22.50
 5.91,  3.66, 23.97
 6.29,  3.89, 25.42
 6.67,  4.12, 26.84
 7.05,  4.35, 28.23
 7.42,  4.57, 29.59
 7.79,  4.79, 30.92
 8.16,  5.01, 32.21
 8.52,  5.23, 33.47
 8.88,  5.44, 34.69
 9.24,  5.65, 35.87
 9.59,  5.85, 37.01
 9.94,  6.05, 38.11
10.28,  6.25, 39.17
10.62,  6.44, 40.18
10.96,  6.63, 41.15
11.29,  6.82, 42.07
11.62,  7.00, 42.95
11.94,  7.17, 43.78
12.26,  7.35, 44.56
12.58,  7.51, 45.29
12.88,  7.68, 45.97
13.19,  7.83, 46.60
13.49,  7.99, 47.18
13.78,  8.13, 47.71
14.07,  8.28, 48.18
14.35,  8.41, 48.60
14.62,  8.55, 48.96
14.89,  8.67, 49.27
15.16,  8.80, 49.53
15.41,  8.91, 49.73
15.67,  9.02, 49.87
15.91,  9.13, 49.96
16.15,  9.23, 50.00
16.38,  9.32, 49.98
16.61,  9.41, 49.90
16.83,  9.49, 49.77
17.04,  9.57, 49.58
17.25,  9.64, 49.34
17.45,  9.70, 49.04
17.64,  9.76, 48.69
17.82,  9.81, 48.29
18.00,  9.85, 47.83
18.17,  9.89, 47.32
18.34,  9.93, 46.75
18.49,  9.95, 46.13
18.64,  9.97, 45.46
18.78,  9.99, 44.75
18.92, 10.00, 43.98
19.04, 10.00, 43.16
19.16, 10.00, 42.30
19.27,  9.99, 41.38
19.37,  9.97, 40.42
19.47,  9.95, 39.42
19.56,  9.92, 38.37
19.64,  9.88, 37.29
19.71,  9.84, 36.15
19.77,  9.79, 34.98
19.83,  9.74, 33.77
19.88,  9.68, 32.53
19.92,  9.61, 31.24
19.95,  9.54, 29.92
19.97,  9.46, 28.57
19.99,  9.38, 27.19
20.00,  9.29, 25.78
20.00,  9.19, 24.33
19.99,  9.09, 22.86
19.98,  8.99, 21.37
19.95,  8.87, 19.85
19.92,  8.76, 18.31
19.88,  8.63, 16.75
19.83,  8.50, 15.17
19.78,  8.37, 13.57
19.71,  8.23, 11.96
19.64,  8.08, 10.34
19.56,  7.94,  8.70
19.48,  7.78,  7.06
19.38,  7.62,  5.40
19.28,  7.46,  3.74
19.17,  7.29,  2.08
19.05,  7.11,  0.41
18.93,  6.94, -1.25
18.79,  6.75, -2.92
18.65,  6.57, -4.58
18.50,  6.38, -6.24
18.35,  6.18, -7.89
18.19,  5.98, -9.53
18.02,  5.78, -11.16
17.84,  5.58, -12.78
17.65,  5.37, -14.38
17.46,  5.16, -15.97
17.26,  4.94, -17.54
17.06,  4.72, -19.09
16.85,  4.50, -20.62
16.63,  4.27, -22.13
16.40,  4.05, -23.61
16.17,  3.82, -25.06
15.93,  3.58, -26.49
15.69,  3.35, -27.89
15.44,  3.11, -29.26
15.18,  2.87, -30.59
14.91,  2.63, -31.89
14.64,  2.39, -33.16
14.37,  2.15, -34.39
14.09,  1.90, -35.58
13.80,  1.66, -36.73
13.51,  1.41, -37.84
13.21,  1.16, -38.91
12.91,  0.91, -39.93
12.60,  0.67, -40.91
12.29,  0.42, -41.85
11.97,  0.17, -42.74
11.65, -0.08, -43.58
11.32, -0.33, -44.37
10.99, -0.58, -45.11
10.65, -0.83, -45.81
10.31, -1.08, -46.45
 9.97, -1.33, -47.04
 9.62, -1.58, -47.58
 9.26, -1.82, -48.07
 8.91, -2.07, -48.50
 8.55, -2.31, -48.88
 8.18, -2.56, -49.20
 7.82, -2.80, -49.47
 7.45, -3.04, -49.68
 7.08, -3.27, -49.84
 6.70, -3.51, -49.95
 6.32, -3.74, -50.00
 5.94, -3.97, -49.99
 5.56, -4.20, -49.93
 5.17, -4.43, -49.81
 4.78, -4.65, -49.63
 4.40, -4.87, -49.41
 4.00, -5.08, -49.12
 3.61, -5.30, -48.78
 3.22, -5.51, -48.39
 2.82, -5.72, -47.95
 2.43, -5.92, -47.45
 2.03, -6.12, -46.89
 1.63, -6.31, -46.29
 1.23, -6.51, -45.64
 0.83, -6.69, -44.93
 0.43, -6.88, -44.17
 0.03, -7.06, -43.37
-0.37, -7.23, -42.51
-0.77, -7.40, -41.61
-1.17, -7.57, -40.67
-1.57, -7.73, -39.67
-1.96, -7.89, -38.64
-2.36, -8.04, -37.56
-2.76, -8.18, -36.44
-3.15, -8.32, -35.28
-3.55, -8.46, -34.08
-3.94, -8.59, -32.84
-4.33, -8.72, -31.56
-4.72, -8.84, -30.25
-5.11, -8.95, -28.91
-5.50, -9.06, -27.53
-5.88, -9.16, -26.13
-6.26, -9.26, -24.69
-6.64, -9.35, -23.23
-7.02, -9.44, -21.74
-7.39, -9.52, -20.23
-7.76, -9.59, -18.69
-8.13, -9.66, -17.14
-8.49, -9.72, -15.56
-8.85, -9.78, -13.97
-9.21, -9.82, -12.36
-9.56, -9.87, -10.74
-9.91, -9.91, -9.11
-10.26, -9.94, -7.46
-10.60, -9.96, -5.81
-10.93, -9.98, -4.15
-11.27, -9.99, -2.49
-11.59, -10.00, -0.83
-11.92, -10.00,  0.84
-12.24, -9.99,  2.51
-12.55, -9.98,  4.17
-12.86, -9.96,  5.83
-13.16, -9.94,  7.48
-13.46, -9.91,  9.12
-13.76, -9.87, 10.76
-14.04, -9.82, 12.38
-14.32, -9.77, 13.98
-14.60, -9.72, 15.58
-14.87, -9.66, 17.15
-15.14, -9.59, 18.71
-15.39, -9.52, 20.24
-15.65, -9.44, 21.75
-15.89, -9.35, 23.24
-16.13, -9.26, 24.71
-16.37, -9.16, 26.14
-16.59, -9.06, 27.55
-16.81, -8.95, 28.92
-17.03, -8.83, 30.27
-17.23, -8.71, 31.57
-17.43, -8.59, 32.85
-17.62, -8.46, 34.09
-17.81, -8.32, 35.29
-17.99, -8.18, 36.45
-18.16, -8.04, 37.57
-18.32, -7.88, 38.65
-18.48, -7.73, 39.68
-18.63, -7.57, 40.68
-18.77, -7.40, 41.62
-18.91, -7.23, 42.52
-19.03, -7.06, 43.37
-19.15, -6.88, 44.18
-19.26, -6.69, 44.94
-19.37, -6.50, 45.64
-19.46, -6.31, 46.30
-19.55, -6.12, 46.90
-19.63, -5.92, 47.45
-19.70, -5.71, 47.95
-19.77, -5.51, 48.40
-19.82, -5.30, 48.79
-19.87, -5.08, 49.13
-19.91, -4.87, 49.41
-19.95, -4.65, 49.64
-19.97, -4.42, 49.81
-19.99, -4.20, 49.93
-20.00, -3.97, 49.99
-20.00, -3.74, 50.00
-19.99, -3.51, 49.95
-19.98, -3.27, 49.84
-19.95, -3.03, 49.68
-19.92, -2.79, 49.47
-19.88, -2.55, 49.20
-19.84, -2.31, 48.87
-19.78, -2.07, 48.49
-19.72, -1.82, 48.06
-19.65, -1.58, 47.58
-19.57, -1.33, 47.04
-19.48, -1.08, 46.45
-19.39, -0.83, 45.80
-19.29, -0.58, 45.11
-19.18, -0.33, 44.36
-19.06, -0.08, 43.57
-18.94,  0.17, 42.73
-18.80,  0.42, 41.84
-18.66,  0.67, 40.91
-18.52,  0.92, 39.92
-18.36,  1.17, 38.90
-18.20,  1.41, 37.83
-18.03,  1.66, 36.72
-17.85,  1.91, 35.57
-17.67,  2.15, 34.38
-17.48,  2.39, 33.15
-17.28,  2.64, 31.88
-17.08,  2.88, 30.58
-16.86,  3.12, 29.25
-16.65,  3.35, 27.88
-16.42,  3.59, 26.48
-16.19,  3.82, 25.05
-15.95,  4.05, 23.60
-15.71,  4.28, 22.11
-15.46,  4.50, 20.61
-15.20,  4.72, 19.08
-14.94,  4.94, 17.53
-14.67,  5.16, 15.95
-14.39,  5.37, 14.37
-14.11,  5.58, 12.76
-13.82,  5.78, 11.14
-13.53,  5.99,  9.51
-13.24,  6.18,  7.87
-12.93,  6.38,  6.22
-12.63,  6.57,  4.57
-12.31,  6.76,  2.90
-11.99,  6.94,  1.24
-11.67,  7.12, -0.43
-11.35,  7.29, -2.09
-11.01,  7.46, -3.76
-10.68,  7.62, -5.42
-10.34,  7.78, -7.07
-9.99,  7.94, -8.72
-9.64,  8.09, -10.35
-9.29,  8.23, -11.98
